ID,Acessibilidade_fisica,Infraestruturas_dificuldade_locomocao,Infraestrutura_auditivas_visuais,Outras_infra_auditivas_visuais,Título,Esfera,Status de Funcionamento,Tipo,Temática,Estado,Município,Site Oficial,Link no MuseusBR
82153,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,Museu Municipal Dr.Joaquim Ernesto Coelho,PÚBLICA – Municipal,Aberto,Clássico/Tradicional,História,MG,Monte Santo de Minas,https://montesantodeminas.mg.gov.br/patrimonio-historico/,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82153
82157,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,Fundação Casa de Jorge Amado,PRIVADA – Não informada,Fechado,Clássico/Tradicional,"Artes, arquitetura e linguística",BA,Salvador,http://www.jorgeamado.org.br,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82157
82158,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,Memorial e Espaço Cultural Casa do Leite,PÚBLICA – Municipal,Fechado,Museu de Território/Ecomuseu,"Artes, arquitetura e linguística",RS,Cachoeirinha (Rio Grande do Sul),,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82158
82161,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,Casa da Memória Sebastião Nairo Barcelos,PÚBLICA – Municipal,Aberto,Clássico/Tradicional,História,MS,Alcinópolis,https://www.alcinopolis.ms.gov.br,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82161
82164,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,Memorial da Arte Sacra e Devocional,PRIVADA – Não informada,Aberto,Clássico/Tradicional,"Artes, arquitetura e linguística",CE,Senador Pompeu,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82164
82167,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,Museu Municipal de Muitos Capões,PÚBLICA – Municipal,Aberto,Clássico/Tradicional,História,RS,Muitos Capões,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82167
82168,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,Museu da Associação dos Ex-combatentes do Brasil - Seção do ABCDMRR,PRIVADA – Associação,Aberto,Clássico/Tradicional,História,SP,Santo André (São Paulo),,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82168
82177,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,Museu do Açougue,PÚBLICA – Municipal,Aberto,Clássico/Tradicional,História,RS,Picada Café,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82177
82183,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,Divisão de Comunicações - Centro de Informação e Documentação Arquivística - Universidade Federal de Goiás,PÚBLICA – Federal,Aberto,Clássico/Tradicional,História,GO,Goiânia,http://www.cidarq.ufg.br,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82183
82188,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,Museu de Estanho John Somers,PRIVADA – Empresa,Fechado,Clássico/Tradicional,História,MG,São João del Rei,http://www.johnsomers.com.br,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82188
82190,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,Centro Pró-memória - Club Athlético Paulistano,PRIVADA – Não informada,Aberto,Clássico/Tradicional,"Educação, esporte e lazer",SP,São Paulo,http://www.paulistano.org.br,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82190
