ID,Logradouro,Número,Complemento,Bairro,CEP,Município,UF,Localização,Geolocalização manual
83739,"Praça da Liberdade, s/n",s/n,Prédio Rosa,Funcionários,30140-010,Belo Horizonte,MG,"-19.9316681180004,-43.938826918602",False
83740,Rua Benfica,157,,Madalena,50720-001,Recife,PE,"-8.060961,-34.901706",False
83741,Rua Servidão da Carioca,s/n,Praia do Forte,Jurerê,88010-000,Florianópolis,SC,"-27.839076094777816,-48.5177223693134",False
83742,Rua Professor Moacir Gomes de Freitas,688,,Pampulha,31270-901,Belo Horizonte,MG,"-19.8724556,-43.9741383",False
83743,Avenida Europa,158,,Jardim Europa,01449000,São Paulo,SP,"-23.5727483,-46.6761196",False
83745,Rua Delmiro de Farias,s/n,Departamento de Morfologia,Rodolfo Teófilo,60430-350,Fortaleza,CE,"-3.7495183,-38.5483659",False
83746,Rua Coronel João Leme,520,,Centro,12900161,Bragança Paulista,SP,"-22.954496,-46.541318",False
83747,"Rodovia BR 465, km 7",s/n,"Pavilhão Central, sala 7 (antiga Rio São Paulo)",Campus Universitário,23890-000,Seropédica,RJ,"-22.756643,-43.675904",False
83748,Avenida Cristiano Ferreira Varella,555,,Centro,36880-000,Muriaé,MG,"-21.1113524,-42.3834637",False
83750,Rua Américo Luz,686,,Bairu,36050-040,Juiz de Fora,MG,"-21.7403165,-43.3524902",False
83751,"Rodovia Comandante João Ribeiro de Barros, km 23",s/n,,Tangarás,17035-245,Bauru,SP,"-22.323339,-49.006572",False
83752,Rua Frei Casimiro Zaffonato,509,No prédio do antigo Seminário,Centro,95240-000,Ipê,RS,"-28.8195017,-51.280386",False
83753,Rua XV de Novembro,695,1º andar,Centro,80020-310,Curitiba,PR,"-25.429509,-49.267527",False
83755,Rua Sandiego,332,,Parque Guadalajara,61650-390,Caucaia,CE,"-3.7642712,-38.6167178",False
83756,Avenida Carlos Chagas Filho,373,"Bloco G, térreo",Ilha do Fundão,21941-902,Rio de Janeiro,RJ,"-22.8410591983865,-43.2350420951843",False
83757,Avenida Milton Tavares de Souza,s/n,,Boa Viagem,24210-340,Niterói,RJ,"-22.905976698770555,-43.13429675461426",False
83758,Ladeira do Pedro Antônio,43,,Saúde,20080-090,Rio de Janeiro,RJ,"-22.8983995,-43.1874501",False
83760,Avenida Tramandaí,976,,Centro,95625-000,Imbé,RS,"-29.9226583,-50.0983016",False
83761,Rua Professor Marcos Waldemar de Freitas Reis,s/n,"Campus Gragoatá, Bloco J, Sala J5 DADOS",São Domingos,24210-201,Niterói,RJ,"-22.898144831727265,-43.131550111649",False
83764,Rua Barbosa Lima,s/n,,Centro,53600000,Igarassu,PE,"-7.83388287178094,-34.9061340093613",False
83765,Vila Arens II,250,,Vila Arens II,13202-550,Jundiaí,SP,"-23.2003789971043,-46.8776857852936",False
83766,Rua João Bernardo de Albuquerque,243,,Tambiá,58020-565,João Pessoa,PB,"-7.1195876231436,-34.8676228523254",False
83767,Rua Marechal Deodoro,967,,Centro,98925-000,Doutor Maurício Cardoso,RS,"-27.5088851863294,-54.3642622232437",False
83768,Rua Santa Casa,164,,Santa Casa,37904-020,Passos,MG,"-20.7135299239763,-46.6125977039337",False
83769,Rua Carlos Gomes,57,Edifício CAIXA Cultural Salvador,Dois de Julho - Centro Antigo,40020-440,Salvador,BA,"-12.872443,-38.475096",False
83770,Rua Princesa Isabel,342,,Centro,87600-000,Nova Esperança,PR,"-23.1785585,-52.2019154",False
83771,Sítio Cedro de Baixo,s/n,Sítio,Zona Rural,58817-000,Nazarezinho,PB,"-6.90955609792013,-38.3261489868164",False
83772,Rua Helena Fabrini,s/n,,Distrito de Sousas,13105-304,Campinas,SP,"-22.8755492,-46.9695462",False
83773,Fazenda Saco,s/n,Bloco 3,Ipa,56900-000,Serra Talhada,PE,"-7.963291,-38.2909029",False
83774,Rua Coronel José Gomes de Sá,7,,Centro,58800-050,Sousa,PB,"-6.758757,-38.230429",False
83775,Avenida Brasil Oeste,758,,Centro,99025-003,Passo Fundo,RS,"-28.2670511,-52.4426225",False
83776,Rua São Pedro,337,,Centro,63010-010,Juazeiro do Norte,CE,"-7.201566,-39.316953",False
83777,Rua Antunes Ribas,s/n,Esquina Antônio Manoel,Centro Histórico,98801-630,Santo Ângelo,RS,"-28.31334,-54.261913",False
83778,Rua Otávio Francisco Caruso da Rocha,300,Tribunal Regional Federal da 4ª Região - Hall de acesso do prédio judicial,Praia de Belas,90010-395,Porto Alegre,RS,"-30.0395994,-51.2369233",False
83779,Rua Reinaldo Mallon,s/n,Anexo à Estação Ferroviária São Bento,Serra Alta,89291-680,São Bento do Sul,SC,"-26.2735345,-49.3929825",False
83780,Praça Doutor Francisco Carlos dos Santos,420,Casa de Cultura Marlene Barbosa Coelho,Centro,96600-000,Canguçu,RS,"-31.396476,-52.678792",False
83781,Comunidade Sítio Escondido,s/n,,Zona Rural,59770000,Patu,RN,"-6.10739984871884,-37.6363277435303",False
83782,Rua Altamiro Flor,s/n,,Alto das Mercês,36300-212,São João del Rei,MG,"-21.1328988,-44.2649676",False
83783,Praça coronel Pedro Osório,8,,Centro,96015-010,Pelotas,RS,"-31.7704166,-52.3400241",False
83784,Rua Aluísio de Abreu,52,,Centro,64400-000,Amarante,PI,"-6.2435614,-42.8535635",False
83785,Avenida Goiás,1799,Estação Ferroviária de Goiânia,Centro,74050-100,Goiânia,GO,"-16.6649208,-49.2615618",False
83786,"Zona Rural de Baependi, 6 km de Águas de Contendas",s/n,,Roseta,37443-000,Baependi,MG,"-21.9897709,-44.813111",False
83787,Avenida Eixo Urbano Central - Estação de Trem,s/n,,Centro,42800-057,Camaçari,BA,"-12.7011966524466,-38.3242607116699",False
83788,Rua Monte Alegre,255,,Santa Teresa,20240-192,Rio de Janeiro,RJ,"-22.91896300642002,-43.18710029414069",False
83789,Rua Conselheiro Lampreia,70,,Cosme Velho,22241-230,Rio de Janeiro,RJ,"-22.941036,-43.2051763",False
83790,Rua Abacate,452,Engenho do Sertão,Sertãozinho,88215-000,Bombinhas,SC,"-27.164426,-48.524137",False
83791,Rua Prudente de Moraes,716,,Centro,18200-040,Itapetininga,SP,"-23.5864999,-48.0507862",False
83792,Praça da Sé,105,Departamento Nacional de Produção Mineral,Centro,63100-000,Crato,CE,"-7.215706,-39.410659",False
83793,Avenida Mauro Ramos,950,,Centro,88020-300,Florianópolis,SC,"-27.5941811,-48.543169",False
83794,Rua Padre João Iop,s/n,Vale Vêneto -Distrito Turístico,Interior,97325-000,São João do Polêsine,RS,"-29.6124909396844,-53.4480571746826",False
83795,Rua da Intendência,s/n,,Centro,34505-480,Sabará,MG,"-19.8887607425113,-43.8072752952576",False
83796,Avenida Victor Ferreira do Amaral,1643,,Tarumã,82800-000,Curitiba,PR,"-25.4285572498124,-49.2258685827255",False
83798,"Praça Municipal, TJDFT - Fórum de Brasília Bloco A - 10º andar Ala A",Lote 1,Praça do Buriti,Brasília,70094-900,Brasília,DF,"-15.7942287,-47.8821658",False
83799,Rua Mirador,489,"Edifício Junglus, sala 05",Centro,89150-000,Presidente Getúlio,SC,"-27.041735371337648,-49.61644649505615",False
83800,Vila Giannetti,39,Casa,Campus UFV,36570-000,Viçosa (Minas Gerais),MG,"-20.7543792,-42.8741418",False
83801,Largo de Santo Antônio,s/n,,Centro,28905-365,Cabo Frio,RJ,"-22.8794188,-42.021715",False
83802,Avenida Presidente Antônio Carlos,6627,Prédio da Biblioteca Central 3º andar - Campus UFMG Pampulha,Liberdade,31270-901,Belo Horizonte,MG,"-19.9166813,-43.9344931",False
83803,Avenida Rio Branco,199,,Centro,20040-008,Rio de Janeiro,RJ,"-22.9087283,-43.1759509746377",False
83804,Avenida Rui Barbosa,215,Tribunal Regional Eleitoral do Rio Grande do Norte - 1º andar,Tirol,59015-29,Natal,RN,"-5.810144699999999,-35.2006225",False
83805,1ª avenida do Centro Administrativo da Bahia,150,,CAB,41745-901,Salvador,BA,"-12.948347,-38.428411",False
83806,Rua Dona Geralda,20,,Centro Histórico,23970-000,Paraty,RJ,"-23.2187393356655,-44.7124886512756",False
83807,Praça da Alfândega,s/n,,Centro,90010-150,Porto Alegre,RS,"-30.029075,-51.23138",False
83808,Rua Dom Serafim,426,,Centro,39600-000,Araçuaí,MG,"-16.8549891,-42.0618117",False
83809,Rua Eduardo Cozac,292,Prédio I,Centro,32450-000,Sarzedo,MG,"-20.0339687,-44.1435414",False
83810,Avenida Sete de Setembro,1621,,Fátima,99709-910,Erechim,RS,"-27.636867,-52.270206",False
83811,Praça Coronel Adolpho,09,,Centro,38183-085,Araxá,MG,"-19.589741,-46.9383229",False
83812,Rua Dom Guilherme Müller,s/n,,Centro,96950-000,Arroio do Tigre,RS,"-29.335317,-53.097158",False
83813,Rua da Aurora,631,,Boa Vista,50050-010,Recife,PE,"-8.0586383,-34.8794246",False
83814,SHA Conjunto 6,Chacara 449,,Águas Claras - Vereda da Cruz,71996-010,Brasília,DF,"-15.8482245,-48.0120686",False
83815,Rua Natanael Pereira de Andrade,38,,COHAB,55490-000,Altinho,PE,"-8.48984573213692,-36.0554052935913",False
83816,Praça Coronel Adolpho,9,,Centro,38183-120,Araxá,MG,"-19.589741,-46.9383229",False
83817,Campus Universitário Darcy Ribeiro,s/n,Departamento de Botânica - Instituto de Ciências,Asa Norte,70919-900,Brasília,DF,"-15.765164,-47.869916",False
83818,Rua João de Freitas Filho,s/n,,Centro,64260-000,Piripiri,PI,"-4.2661491,-41.7854479",False
83819,Rua Carlos Barbosa,55,,Centro,95330-000,Veranópolis,RS,"-28.9358244403385,-51.5520143508911",False
83820,"Rodovia PE 60, km 10",s/n,,Cabo de Sto Agostinho,54500-000,Cabo de Santo Agostinho,PE,"-8.357395,-35.022923",False
83821,Rua Miguel Prisco,286,,Centro,09400-110,Ribeirão Pires,SP,"-23.704348,-46.4126355",False
83822,Parque Juca Mulato,s/n,,Centro,13970000,Itapira,SP,"-22.4398339,-46.8211019",False
83824,RUA LARGO DA GUIA,10,biblioteca augusto dos anjos,Centro,58195-000,Frei Martinho,PB,"-6.4034137,-36.4546751",False
83825,Rua São Francisco Xavier,524,Bloco F – Sala 9103 / Sala de Ensino e Pesquisa em Ciências Sociais,Maracanã,20550-013,Rio de Janeiro,RJ,"-22.9111739,-43.2361323",False
83826,Rua Abílio Franco,1500,,Bom Sucesso,89501-032,Caçador,SC,"-26.8119762,-50.9977471",False
83827,BR 392,s/n,KM 88 Acesso pela Vila da Cascata,Cascata,96140-000,Pelotas,RS,"-31.6179274020841,-52.5075345486403",False
83828,Estrada da Tiririca,s/n,Barra de Pojuca,Cachoeirinha,42825-000,Camaçari,BA,"-12.8592812,-38.2878076",False
83829,Praça Mauá,5,,Centro,20081240,Rio de Janeiro,RJ,"-22.8962758,-43.1809422839938",False
83830,SGAS 913,s/n,Módulo H - Avenida W5 Sul,Asa Sul,70390-130,Brasília,DF,"-15.817739,-47.921202",False
83831,"Avenida Prudente de Morais, até 720 - lado par",202,,Cidade Jardim,30380-002,Belo Horizonte,MG,"-19.9367867700017,-43.947651386261",False
83832,Alto do Monte Formoso - Rosarinho,s/n,Cemitério da VOTC,Centro,44300-000,Cachoeira,BA,"-12.5996899585599,-38.9662206172943",False
83833,Avenida Manoel Antônio de Souza,396,,Centro,75470-000,Nova Veneza (Goiás),GO,"-16.3699594421167,-49.3219581339508",False
83834,Alameda Harvey C Weeks,203,s/n,Vista Verde,12223-830,São José dos Campos,SP,"-23.2163258,-45.813031",False
83835,Rua Gomes Carneiro,1,sala 210 A,Centro,96010-610,Pelotas,RS,"-31.7803499590754,-52.3237180709839",False
83837,Avenida Vereador João Sena,98,,Centro,38183-042,Araxá,MG,"-19.5890781,-46.9392252",False
83838,Estrada Doutor Rafael Elias José Aun km 05,s/n,,Mirim,13332-000,Indaiatuba,SP,"-23.0685414,-47.2074379",False
83839,Rua Monsenhor Joviniano Barreto,s/n,,São Miguel,63100-500,Crato,CE,"-7.2311193,-39.4043242",False
83840,BR 101 km 137,s/n,Zoológico,Nova Esperança,88332-510,Balneário Camboriú,SC,"-27.0121272517314,-48.6131072044373",False
83841,Avenida Eliseu Maciel,s/n,"Campus Universitário da UFPel - Prédio 22 Depto de Botânica, Instituto de Biologia",Jardim América,96160-000,Capão do Leão,RS,"-31.8042785235505,-52.4130892753601",False
83842,Cidade,s/n,,Centro,58180-000,Pedra Lavrada,PB,"-6.756566,-36.4707725",False
83843,Alameda Duque de Caxias,78,,Centro,89015-010,Blumenau,SC,"-26.922113,-49.05754",False
83844,Setor Comercial Sul Quadra 4,"1º, 2º e 3º andares",,Asa Sul,70300-500,Brasília,DF,"-15.7973381,-47.8915747",False
83845,Rua Silvio Américo Sasdelli,1842,,Itaipu A,85866-000,Foz do Iguaçu,PR,"-25.4946889,-54.5632553",False
83846,"Rua Presidente Carlos Cavalcanti, até 569/570",533,,Centro,80020-280,Curitiba,PR,"-25.4257053,-49.2720976",False
83847,Rua Diamantino de Oliveira,218,1º andar,Jardim Pastoril,09400-420,Ribeirão Pires,SP,"-23.7113352,-46.407821",False
83848,Praça Farmacêutico Bruno Garisto,s/n,Armazém da antiga estação ferroviária,Centro,15890-000,Uchoa,SP,"-20.9510697793938,-49.1730129718781",False
83849,Rua Luis Rodrigues Filho,698,,Venâncios,63708-310,Crateús,CE,"-5.17565042007396,-40.6566098425537",False
83850,Avenida Doutor Antônio Gouveia,s/n,,Pajuçara,57030170,Maceió,AL,"-9.6679131,-35.7134839",False
83851,Rua Baronesa da Lagoa Dourada,234,,Maria Queiroz,28035-200,Campos dos Goytacazes,RJ,"-21.7524937,-41.3336944",False
83852,Avenida Pedro Álvares Cabral,s/n,Parque do Ibirapuera - Portão 3,Ibirapuera,04094-000,São Paulo,SP,"-23.588229,-46.655328",False
83853,Avenida Thomé Portes Del Rey,925,,Jardim Ana Emília,12070-610,Taubaté,SP,"-23.015982,-45.53705",False
83854,Avenida Padre Cacique,2000,,Praia das Belas,90810-240,Porto Alegre,RS,"-30.077996,-51.245954",False
83855,Avenida Alfredo Lisboa,10,,Bairro do Recife,50030-150,Recife,PE,"-8.065988,-34.8729278",False
83856,Rua Jogo de Bola,15,,Centro,36325-000,Tiradentes,MG,"-21.1089727,-44.1774604",False
83857,Rua dos Andradas,630,,Centro,90020-002,Porto Alegre,RS,"-30.031783,-51.235457",False
83858,Rua Nossa Senhora dos Anjos,541,,Centro,94010-130,Gravataí,RS,"-29.945699,-50.99416",False
83859,Avenida Marechal Floriano,196,Palácio do Itamaraty,Centro,20080-002,Rio de Janeiro,RJ,"-22.90304,-43.187909",False
83860,Rua Bento Gonçalves,44,,Centro,95335-000,Cotiporã,RS,"-28.989599,-51.697585",False
83861,Avenida Contorno,900,Parque Mutirama,Setor Central,74055-140,Goiânia,GO,"-16.6629481935652,-49.2539298534393",False
83862,Rua Adelino Fernandes de Carvalho,s/n,Lt 01-A Qd 01,Lago Sereno,76400000,Uruaçu,GO,"-14.5267449,-49.1441077",False
83863,Quadra 4 Bloco A,256,Edifício Apolo,Asa Sul,70304-915,Brasília,DF,"-15.796524753699662,-47.888507176659175",False
83864,Praça Tiradentes,139,,Centro,35400-000,Ouro Preto,MG,"-20.385743,-43.503686",False
83865,Avenida Curitiba,1215,Centro Cultural,Centro,86800-09,Apucarana,PR,"-23.5510117,-51.4588989",False
83866,Rua Duque de Caxias,356,,Centro,69020-140,Manaus,AM,"-3.132722,-60.0119291",False
83867,Rua Major Nepomuceno - Praça Coronel Abílio Wolney,124,,Centro,77300-000,Dianópolis,TO,"-11.6275631568637,-46.8215042352676",False
83868,Rua Herny Hugo Dreher,127,Próximo à Fundação Casa das Artes,Planalto,95703-200,Bento Gonçalves,RS,"-29.1660045,-51.5046757",False
83869,Praça Lúcio André,s/n,,Centro,28860-000,Casimiro de Abreu,RJ,"-22.481731,-42.207001",False
83870,Avenida Peter Henry Rolfs,s/n,Edifício sede do Departamento de Entomologia,Campus Universitário,36570-900,Viçosa (Minas Gerais),MG,"-20.7587323363318,-42.8682661056519",False
83871,Avenida Dom Pedro II,608,O antigo prédio do palácio do governo,Caiari,76804-116,Porto Velho,RO,"-8.7631363,-63.9060165",False
83872,Avenida Alberto Pasqualini,931,,Centro,99200-000,Guaporé,RS,"-28.846402,-51.890031",False
83873,Rua Padre Champagnat,1-87,,Cidade Velha,66020-470,Belém (Pará),PA,"-1.455299,-48.5042545",False
83874,Rodovia PA 150 km 74,74,,Zona Rural,68699-000,Tailândia,PA,"-2.5431071,-48.7646494",False
83875,Avenida da República Argentina,3430,,Portão,80610260,Curitiba,PR,"-25.4765751,-49.2930313",False
83876,Largo Engenheiro João Fernandes Moreira,s/n,,Centro,96900-900,Rio Grande,RS,"-32.0306868,-52.0978357",False
83877,Rua Varginha,235,,Floresta,31110-130,Belo Horizonte,MG,"-19.9118038,-43.9367166",False
83878,Rua do Comércio,05,,Centro,09400-200,Ribeirão Pires,SP,"-23.7133751,-46.4152561",False
83879,Rua Olímpio Wanderley,116,Casa Histórica,Centro,56870-000,Triunfo (Pernambuco),PE,"-7.83779421803629,-38.1024634838104",False
83880,Rua Coronel Antônio Costa,55,,Centro,37800-000,Guaxupé,MG,"-21.3059327,-46.7100416",False
83881,XV de Novembro,290,,Centro,13350-000,Elias Fausto,SP,"-23.0439972462089,-47.3737388849258",False
83882,Avenida José Ruschi,4,,Centro,29650-000,Santa Teresa,ES,"-19.935644104680904,-40.59968645417467",False
83883,Rua XV de Novembro,920,1º andar,Centro,89010-002,Blumenau,SC,"-26.9195783,-49.0654084",False
83884,Praça Manoel Silvino Monjardim,66,Antiga sede da Capitania dos Portos,Centro,29010-520,Vitória,ES,"-20.3181177453061,-40.3300595283508",False
83885,Rua do Moinho,244,Moinho/Museu,Colônia Castrolanda,84177-024,Castro,PR,"-24.7919399,-49.9447806",False
83886,Alameda David Carneiro,380,,Centro Histórico,83750-000,Lapa,PR,"-25.77146987614753,-49.71651434898376",False
83887,Rua Brasílio Celestino de Oliveira,160,Próximo à Igreja Matriz,Centro,89650-000,Treze Tílias,SC,"-26.126341,-49.8016827",False
83888,Avenida Hermes da Fonseca,1398,,Tirol,59020-650,Natal,RN,"-5.803231,-35.201803",False
83889,Avenida Amazonas,s/n,,Prado,57010-060,Maceió,AL,"-9.66896624927052,-35.74462839069391",False
83890,Avenida Getúlio Vargas,455,1º andar,Centro,36010-110,Juiz de Fora,MG,"-21.760284,-43.346388",False
83891,Rua Kara,105,,Jardim do Mar,09750-300,São Bernardo do Campo,SP,"-23.6874367525471,-46.5551233291626",False
83892,Praça Marechal Âncora,s/n,"Entre a Praça XV e o aeroporto Santos Dumont, na Orla do Conde",Centro,20021-200,Rio de Janeiro,RJ,"-22.9061036197001,-43.16943526268",False
83894,Avenida José Bezerra,s/n,"Arruado Doutor Cordeiro, Prédio Histórico",Centro,56870-000,Triunfo (Pernambuco),PE,"-7.83994650566632,-38.0977696180344",False
83895,Avenida Oviedo Teixeira,51,Parque da Sementeira,Jardins,49026-100,Aracaju,SE,"-10.94516,-37.055737",False
83896,https://museudotijoloantigo.blogspot.com/,s/n,,SP,18055-085,Sorocaba,SP,"-23.4906756612771,-47.5111198429659",False
83897,Rua Rui Barbosa,49,,Centro,95170-440,Farroupilha,RS,"-29.2278386,-51.3480949",False
83898,Rua Berta,111,,Vila Mariana,04120-040,São Paulo,SP,"-23.594695754220094,-46.63533748640473",False
83899,Avenida Otacílio Negrão de Lima,16585,,Jardim Atlântico,31365450,Belo Horizonte,MG,"-19.8517718,-43.9735343",False
83900,Rua Lobo da Costa,1202,,Centro,96010-150,Pelotas,RS,"-31.7700251,-52.3430657",False
83901,Praça Jornalista Leonardo Gomes,1,2° Andar,Centro,15060-005,São José do Rio Preto,SP,"-20.809049,-49.375402",False
83902,Travessa Quintino Bocaiuva,1585,Palácio Serzedello Correa,Nazaré,66035-903,Belém (Pará),PA,"-1.45299534323158,-48.4861850738525",False
83903,Rua XV de Novembro,1400,,América,89201-602,Joinville,SC,"-26.298561,-48.855593",False
83904,Rua Coronel Batista,323,,Setor Central,75020080,Anápolis,GO,"-16.3303095,-48.9530754",False
83905,Rua Antônio Maria,131,,Centro,78005440,Cuiabá,MT,"-15.5987242,-56.0964644",False
83906,Baixa dos Sapateiros,7,,Pelourinho,40025-005,Salvador,BA,"-12.9706429,-38.5078064",False
83907,Rua Coronel Nunes de Melo,s/n,Maternidade Escola Assis Chateaubriand,Rodolfo Teófilo,60430-270,Fortaleza,CE,"-3.7481908,-38.5524832",False
83908,Praça Marechal Floriano Peixoto,517,,Centro,57020090,Maceió,AL,"-9.6602617,-35.7397513",False
83909,Rua Luiz Saturnino Matos,10,,Centro,62940000,Morada Nova,CE,"-5.1073758,-38.3717794",False
83910,Rua XV de Novembro,160,,Centro,89010-100,Blumenau,SC,"-26.92187715,-49.059174627931",False
83911,Rua Barão do Rio Branco,395,,Centro,80010-180,Curitiba,PR,"-25.43311066475521,-49.26729123309217",False
83912,Rua Dom Manuel,29,,Centro,20010-090,Rio de Janeiro,RJ,"-22.904774376262,-43.172487616539",False
83914,"Estrada Geral Vila Gropp (2,06 km)",s/n,Perímetro rural.,Vila Gropp,88410-000,Atalanta,SC,"-27.4112809648643,-49.7625088691711",False
83915,Rua Floriano Peixoto,480,,Centro,13300-005,Itu,SP,"-23.26057,-47.301921",False
83916,Avenida Olivo Gomes,100,Parque da Cidade Roberto Burle Marx,Santana,12211115,São José dos Campos,SP,"-23.16574345,-45.8863341574485",False
83917,Rua Guaianases,1024,Palácio dos Campos Elíseos,Campos Elíseos,01205-903,São Paulo,SP,"-23.5322138945131,-46.6469460725784",False
83918,Avenida Presidente Costa e Silva,1600,Complexo Cultural Palácio das Artes,Boqueirão,11701-970,Praia Grande (São Paulo),SP,"-24.000673,-46.412492",False
83919,Rua Doutor Cunha Ferreira,104,,Centro,27511230,Resende,RJ,"-22.4694986,-44.4489397",False
83920,Rua do Horto,931,,Horto Florestal,02377-000,São Paulo,SP,"-23.461597,-46.630197",False
